id,user_id,building_id,unit_id,first_name,last_name,email,phone,is_owner,is_primary_resident,move_in_date,move_out_date,preferred_language,preferred_notification_method,notes,created_at,updated_at
1455ee01-78ac-4d10-97c7-d3635ade8c3d,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,18ce0819-8366-44c1-964d-20562ce6b59f,Nathalie,Fortin,nathalie.fortin@example.com,514-263-404,false,true,2023-07-20,,fr,sms,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
4aee6116-dc09-4239-b1f6-d83aa050ca2b,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,589cd5a6-4050-41af-8508-289aec34944a,Céline,Morin,céline.morin@example.com,579-369-892,true,true,2025-01-15,,fr,email,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
5ccb7620-5f17-4948-a1e8-fbcab27329b0,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,af997e88-1385-4850-828b-66d194d8bce0,Sophie,Tremblay,sophie.tremblay@example.com,579-868-833,true,true,2022-08-05,,en,sms,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
869e62c7-e980-4a83-9a48-c804a15af7ae,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,e6e56392-1e36-41bc-9e59-91da0d73df03,Isabelle,Gagnon,isabelle.gagnon@example.com,438-689-950,true,true,2024-11-01,,fr,sms,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
9e66da3e-e830-48df-a6a1-bf645cb81487,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,16119c33-3bdc-40c0-aa9f-5f69b71a424e,Marie,Bouchard,marie.bouchard@example.com,579-170-788,false,true,2022-09-21,,fr,sms,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
ab77c126-1a65-4256-bf4b-3b4af7ac5154,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,f73d4e2d-d116-47dc-97e2-25f115ec7c39,Pierre,Gauthier,pierre.gauthier@example.com,579-359-850,true,true,2023-07-13,,fr,email,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
c981425a-3de9-49b6-bae0-3793fda6cd40,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,cba26fdb-8dc2-4a27-a3f7-e925df99244b,François,Lavoie,françois.lavoie@example.com,579-244-643,true,true,2023-04-25,,fr,email,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
da1128d5-bfe9-47b9-b99d-c45944755bb0,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,9ecbd213-ab6d-4337-936b-c5391737b978,Jean,Côté,jean.côté@example.com,514-863-242,true,true,2024-06-15,,fr,email,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
eb339d84-9aec-4d0f-a3b4-ac4e238fceb1,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,1312e1f0-c431-4764-a1f9-f209a6b34464,Mathieu,Roy,mathieu.roy@example.com,579-669-294,true,true,2025-02-01,,en,sms,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
f56aeb0e-600d-433c-901e-80db73ced749,,f0d44d67-b0b4-4194-b866-52cdf3b5fe89,1c4892e2-18b2-4502-b98b-4289e4a6775b,Philippe,Gagné,philippe.gagné@example.com,579-576-866,true,true,2024-01-02,,en,email,,2025-04-05 22:25:08.998144+00,2025-04-05 22:25:08.998144+00
